,股票代码,股票名称,每股收益(元),营业收入(元),营业收入同比增长(%),营业收入季度环比增长(%),净利润(元),净利润同比增长(%),净利润季度环比增长(%),每股净资产(元),净资产收益率(%),每股经营现金流量(元),销售毛利率(%),所属行业,最新公告日期
2772,sz.000900,现代投资,0.1849,4447896736.11,63.2064746122,23.5789,280714481.62,464.57,242.2318,7.005597515984,2.55,0.314573591377,13.5513145181,综合行业,2021-04-28
2773,sz.000895,双汇发展,0.4159,18317771682.02,4.1276503224,0.805,1441074393.04,-1.61,9.404,7.274664519575,5.89,0.405200739167,16.2594700367,食品饮料,2021-04-28
2774,sz.000893,亚钾国际,0.0232,125467336.1,54.4740938147,63.7727,17527418.98,325.23,-68.1811,4.929954608044,0.47,0.107833904938,44.5632895445,化肥行业,2021-04-28
2775,sz.000888,峨眉山A,0.0023,132233953.32,95.2019943692,23.5955,1201323.92,101.25,-96.9329,4.598486720757,0.05,-0.09707935786,20.3894856677,旅游酒店,2021-04-28
2776,sz.000886,海南高速,0.014,8348022.2,13.3163176783,-88.226,14214787.23,256.9209391166,70.703,2.872236737895,0.5,-0.050759741545,38.8314630979,房地产,2021-04-28
2777,sz.000885,城发环境,0.302,734164827.59,286.2764717035,-58.329,193876015.36,291.39,-38.8461,7.617953146677,3.59,0.154498683233,49.9875707223,高速公路,2021-04-28
2778,sz.000860,顺鑫农业,0.5031,5485544794.89,-0.7034546735,77.4147,373201085.89,5.73,2860.2903,10.939664902437,4.71,-1.625680498313,28.9124366943,酿酒行业,2021-04-28
2779,sz.000859,国风塑业,0.11,437399347.04,70.1090814411,-8.3521,89360276.11,838.35,53.8294,2.823686401958,3.96,0.05866132236,19.4157370889,塑胶制品,2021-04-28
2780,sz.000858,五粮液,2.402,24324839644.81,20.1925462919,64.0434,9323613990.16,21.02,72.3609,24.482015317747,9.35,1.418349069511,76.4319273604,酿酒行业,2021-04-28
2781,sz.000831,五矿稀土,0.1035,769957639.4,144.4464047204,11.2619,101511014.86,749.24,-29.6733,2.61377360725,4.04,-0.228262927341,18.8310091894,有色金属,2021-04-28
2782,sz.000830,鲁西化工,0.525,6216307416.74,85.3396732723,12.7234,999183469.89,5834.61,181.8808,8.019649454405,6.77,1.008073132937,29.1501803802,化肥行业,2021-04-28
2783,sz.000828,东莞控股,0.2309,346421909.12,111.1433848441,-12.4899,240023173.71,115.47,-3.1352,7.720566723858,3.04,0.638420842697,72.1525083257,高速公路,2021-04-28
2784,sz.000819,岳阳兴长,-0.019,303965844.54,7.2203989966,-28.7281,-5714508.31,78.61,-126.1239,2.813844985457,-0.68,-0.120572723931,6.2168030683,石油行业,2021-04-28
2785,sz.000811,冰轮环境,0.07,1112725505.79,75.9604478322,-9.7777,52289114.36,473.4418504074,10.6274,5.980599912511,1.21,-0.336093619666,21.3642112213,机械行业,2021-04-28
2786,sz.000799,酒鬼酒,0.8245,907576761.34,190.3635523556,29.8338,267899693.09,178.85,66.5691,9.617569715604,8.96,0.599183376626,79.402885815,酿酒行业,2021-04-28
2787,sz.000791,甘肃电投,-0.011,364310004.65,11.6666712628,-31.163,-14919653.35,61.08,62.8598,4.929933290692,-0.22,0.21975517361,27.1135567262,电力行业,2021-04-28
2788,sz.000782,美达股份,0.04,734854533.96,61.8921228772,3.2652,20890955.71,148.35,-72.924,2.767243494227,1.44,-0.225725124642,13.1577467923,化纤行业,2021-04-28
2789,sz.000777,中核科技,-0.0133,260283798.67,98.4999948536,-32.7077,-5117741.01,71.82,-109.8816,4.047620319916,-0.33,-0.029977303598,15.6196286737,机械行业,2021-04-28
2790,sz.000766,通化金马,0.0042,382987117.99,152.8753944749,12.2849,4070763.78,109.16,102.0242,2.354390106287,0.18,0.001532404336,74.7012832341,医药制造,2021-04-28
