,Date,High,Low,Open,Close,Volume
147,2020/9/3,28.31,26.39,27,28.31,284953.85
148,2020/9/4,27.15,25.48,26,26.89,361636.65
149,2020/9/7,25.5,24.2,25.5,24.2,159551.13
150,2020/9/8,23.4,21.78,23.05,21.78,337662.14
151,2020/9/9,21.67,19.88,21.01,20.15,279892.77
152,2020/9/10,21.09,19.2,20.3,20.97,309346
153,2020/9/11,20.33,19.56,20.3,19.85,191767.25
154,2020/9/14,20.58,19.69,19.98,20.04,174187.9
155,2020/9/15,20.65,19,19.9,20.51,201143.95
156,2020/9/16,20.18,19.62,20,19.71,125036.3
157,2020/9/17,20,19.41,19.67,19.73,83935.32
158,2020/9/18,20.54,19.5,19.51,20.27,128347.89
159,2020/9/21,20.28,19.5,20.25,19.56,106852.09
160,2020/9/22,20.25,18.82,19.15,19.67,124581.53
161,2020/9/23,19.86,19.21,19.69,19.42,68757.5
162,2020/9/24,19.68,18.63,19.13,18.63,73421.05
163,2020/9/25,19.65,18.71,18.71,18.88,88470.97
164,2020/9/28,19.19,18.25,19.08,18.38,61251.44
165,2020/9/29,18.68,18.3,18.52,18.5,64126.23
166,2020/9/30,18.65,18.25,18.52,18.44,42747.8
167,2020/10/9,19.32,18.68,18.95,18.99,80103.01
168,2020/10/12,20.12,19.06,19.17,19.88,109591.31
169,2020/10/13,20.19,19.38,19.95,20.14,83876.02
170,2020/10/14,20.1,19.69,19.91,19.88,66198.88
171,2020/10/15,20.12,19.61,19.86,20.12,71221.29
172,2020/10/16,20.18,19.25,20.13,19.42,84375.03
173,2020/10/19,19.91,19.11,19.4,19.11,51729.2
174,2020/10/20,20.15,18.77,19.07,20.09,90166.13
175,2020/10/21,20.2,19.58,20.08,20.15,78006.18
176,2020/10/22,20.39,19.43,20.1,19.5,103738.81
177,2020/10/23,19.7,19.1,19.38,19.61,67176.99
178,2020/10/26,19.5,18.98,19.4,19.16,52348.04
179,2020/10/27,19.38,18.93,19,19.17,46227.7
180,2020/10/28,19.29,18.46,19.08,18.58,46518.26
181,2020/10/29,18.35,17.08,18.35,17.76,100438.2
182,2020/10/30,19.54,18.2,18.3,18.25,228433.63
183,2020/11/2,18.09,17.45,17.97,18.05,133012.67
184,2020/11/3,19.57,18.3,18.41,19.1,145616.01
