,股票代码,股票名称,所属地域,行业,业绩预告发布日期,业绩预告统计日期,业绩预告类型,业绩预告摘要,预告归属于母公司的净利润增长上限(%),预告归属于母公司的净利润增长下限(%)
4510,sz.300068,南都电源,浙江,电气设备,2021/1/30,2020/12/31,略减,"预计2020年1-12月归属于上市公司股东的净利润盈利:25,000万元至34,000万元,同比上年下降:7.79%至32.2%。",-7.79,-32.2
4511,sz.300069,金利华电,浙江,电气设备,2020/1/23,2019/12/31,扭亏,"预计2019年1-12月归属于上市公司股东的净利润盈利:1,800万元至2,300万元。",112.886557,110.085131
4512,sz.300069,金利华电,浙江,电气设备,2020/4/10,2020/3/31,续亏,预计2020年1-3月归属于上市公司股东的净利润亏损:100万元至500万元。,30.736981,-246.315096
4513,sz.300069,金利华电,浙江,电气设备,2020/4/28,2020/6/30,续亏,预计2020年1-6月归属于上市公司股东的净利润仍将出现亏损。,0,0
4514,sz.300069,金利华电,浙江,电气设备,2020/10/29,2020/12/31,首亏,预计2020年1-12月归属于上市公司股东的净利润将为亏损。,0,0
4515,sz.300069,金利华电,浙江,电气设备,2021/1/28,2020/12/31,首亏,"预计2020年1-12月归属于上市公司股东的净利润亏损:6,000万元至9,000万元,同比上年下降:546.18%至719.27%。",-546.18,-719.27
4516,sz.300070,碧水源,北京,环境保护,2020/1/20,2019/12/31,略增,"预计2019年1-12月归属于上市公司股东的净利润盈利:130,674.55万元至143,119.74万元,同比上年增长:5%至15%。",15,5
4517,sz.300070,碧水源,北京,环境保护,2020/4/9,2020/3/31,略减,"预计2020年1-3月归属于上市公司股东的净利润盈利:6,674.01万元至8,342.51万元,同比上年下降:0%至20%。",0,-20
4518,sz.300070,碧水源,北京,环境保护,2020/7/9,2020/6/30,预增,"预计2020年1-6月归属于上市公司股东的净利润盈利:9,919.68万元至10,692.64万元,同比上年增长:285%至315%。",315,285
4519,sz.300071,华谊嘉信,北京,广告包装,2020/1/22,2019/12/31,扭亏,"预计2019年1-12月归属于上市公司股东的净利润盈利:1,000万元至1,500万元。",101.950483,101.300322
4520,sz.300071,华谊嘉信,北京,广告包装,2020/4/9,2020/3/31,增亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:5,200万元至5,700万元。",-26.410425,-38.565274
4521,sz.300071,华谊嘉信,北京,广告包装,2020/10/30,2020/12/31,不确定,预计2020年1-12月归属于上市公司股东的净利润不确定。,0,0
4522,sz.300071,华谊嘉信,北京,广告包装,2021/1/28,2020/12/31,首亏,"预计2020年1-12月归属于上市公司股东的净利润亏损:51,000万元至62,000万元。",-4477.367706,-5421.505839
4523,sz.300072,三聚环保,北京,环境保护,2020/1/15,2019/12/31,预减,"预计2019年1-12月归属于上市公司股东的净利润盈利:9,000万元至13,000万元,同比上年下降:74.28%至82.2%。",-74.28,-82.2
4524,sz.300072,三聚环保,北京,环境保护,2020/4/9,2020/3/31,首亏,"预计2020年1-3月归属于上市公司股东的净利润亏损:7,800万元至8,300万元。",-843.155682,-890.793867
4525,sz.300072,三聚环保,北京,环境保护,2020/4/28,2020/6/30,不确定,预计2020年1-6月归属于上市公司股东的净利润与上年同期相比发生重大变动。,0,0
4526,sz.300072,三聚环保,北京,环境保护,2020/10/27,2020/12/31,首亏,预计2020年1-12月归属于上市公司股东的净利润可能为亏损。,0,0
4527,sz.300072,三聚环保,北京,环境保护,2021/1/29,2020/12/31,首亏,"预计2020年1-12月归属于上市公司股东的净利润亏损:130,000万元至150,000万元。",-1037.262325,-1181.456529
4528,sz.300073,当升科技,北京,矿物制品,2020/1/22,2019/12/31,首亏,"预计2019年1-12月归属于上市公司股东的净利润亏损:20,500万元至21,000万元。",-164.840282,-166.421752
4529,sz.300073,当升科技,北京,矿物制品,2020/4/10,2020/3/31,预减,"预计2020年1-3月归属于上市公司股东的净利润盈利:3,000万元至3,500万元,同比上年下降:45.39%至53.19%。",-45.39,-53.19
4530,sz.300073,当升科技,北京,矿物制品,2020/10/29,2020/12/31,扭亏,"预计2020年1-12月归属于上市公司股东的净利润盈利:32,000万元至38,000万元。",281.778962,253.077021
