,股票名称,股票代码,识别日期,最新日期,形态识别,左底id,左底价格,右底id,右底价格,中顶id,中顶价格,收盘价格,颈线价格,首次突破,突破幅度,当日涨幅,突破放量,当前成交量-手,平均成交量-手,最大盈利id,最大盈利价格,最大盈利比例%,最大亏损id,最大亏损价格,最大亏损比例%
886,益盛药业,sz.002566,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-02 00:00:00,7.51,2022-06-15 00:00:00,7.55,2022-06-07 00:00:00,7.94,,,,False,,,,,,,,,,
887,合肥百货,sz.000417,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-22 00:00:00,4.36,2022-07-15 00:00:00,4.29,2022-06-30 00:00:00,4.59,,,,False,,,,,,,,,,
888,*ST云城,sh.600239,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-14 00:00:00,1.87,2022-07-15 00:00:00,1.86,2022-06-20 00:00:00,1.97,,,,False,,,,,,,,,,
889,招商轮船,sh.601872,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-20 00:00:00,5.46,2022-07-15 00:00:00,5.41,2022-07-05 00:00:00,6.21,,,,False,,,,,,,,,,
890,东亚机械,sz.301028,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,9.74,2022-07-12 00:00:00,9.87,2022-06-28 00:00:00,11.16,,,,False,,,,,,,,,,
891,神思电子,sz.300479,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-10 00:00:00,16.0,2022-06-14 00:00:00,16.02,2022-06-13 00:00:00,16.3,18.8,16.3,,True,,,,,,,,,,
892,海南椰岛,sh.600238,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,13.19,2022-07-15 00:00:00,13.07,2022-06-01 00:00:00,14.51,,,,False,,,,,,,,,,
893,民生控股,sz.000416,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-02 00:00:00,3.53,2022-07-15 00:00:00,3.54,2022-06-15 00:00:00,4.0,,,,False,,,,,,,,,,
894,天安新材,sh.603725,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-06-09 00:00:00,6.47,2022-06-15 00:00:00,6.55,2022-06-13 00:00:00,6.62,,,,False,,,,,,,,,,
895,清新环境,sz.002573,2022-07-18 00:00:00,2022-07-15 00:00:00,True,2022-05-24 00:00:00,5.64,2022-06-22 00:00:00,5.69,2022-06-06 00:00:00,5.97,,,,False,,,,,,,,,,
