,ts_code,name,area,industry,list_date,close,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
191,000620.SZ,新华联,北京,全国地产,19961029,2.14,2.1323,0.75,5.0114,,0.5612,0.3386,0.4092,,,189669.042,189619.167,73591.9083,405891.7499,405785.0174
192,000622.SZ,恒立实业,湖南,汽车配件,19961107,3.5,1.1313,0.46,125.5245,895.8181,7.1669,4.3062,3.9641,,,42522.6,42522.6,27737.9347,148829.1,148829.1
193,000623.SZ,吉林敖东,吉林,化学制药,19961028,15.73,1.767,0.98,13.0337,10.4687,0.807,5.9237,7.7987,1.267,1.267,116304.1484,116008.5651,85014.5602,1829464.2543,1824814.729
194,000625.SZ,长安汽车,重庆,汽车整车,19970610,18.94,5.1912,0.88,,29.0173,1.8966,1.4389,1.2492,,,536339.6174,390064.3469,197151.8438,10158272.3536,7387818.7303
195,000626.SZ,远大控股,江苏,商贸代理,19961128,14.49,4.123,1.36,46.5033,159.9824,2.8825,0.1161,0.1371,,,54287.4902,46394.64,16726.29,786625.733,672258.3336
196,000627.SZ,天茂集团,湖北,保险,19961112,4.04,0.9858,1.23,11.2392,14.946,0.9597,0.3977,0.4709,2.4752,2.4752,494062.9165,446250.4165,166586.6288,1996014.1827,1802851.6827
197,000628.SZ,高新发展,四川,园区开发,19961118,8.25,1.0471,0.49,27.7953,18.3811,2.1271,0.8778,0.5953,,,35228.0,18798.034,16105.804,290631.0,155083.7805
198,000629.SZ,攀钢钒钛,四川,小金属,19961115,2.03,0.9942,0.61,12.2872,87.5759,1.8361,1.3251,1.6449,,,858974.6202,746432.8442,354842.1295,1743718.479,1515258.6737
199,000630.SZ,铜陵有色,安徽,铜,19961120,2.48,1.6604,0.9,31.4331,30.018,1.3774,0.281,0.2751,0.4032,0.4032,1052653.3308,1052635.1975,668060.5511,2610580.2604,2610535.2898
200,000631.SZ,顺发恒业,吉林,区域地产,19961122,3.08,0.74,0.91,12.314,28.1386,1.1472,4.5439,10.509,0.6169,0.6169,243251.9168,243251.9168,68628.4427,749215.9037,749215.9037
201,000632.SZ,三木集团,福建,综合类,19961121,3.25,0.699,0.78,36.7808,31.9238,1.1017,0.2373,0.2327,,,46551.957,46548.1606,32125.6447,151293.8603,151281.522
202,000633.SZ,合金投资,新疆,综合类,19961112,6.73,13.2315,0.81,,222.252,15.6647,26.0047,20.6387,,,38510.6373,38510.4123,25548.2848,259176.589,259175.0748
203,000635.SZ,英力特,宁夏,化工原料,19961120,7.09,1.3662,0.84,42.065,90.8885,0.806,1.0296,1.1222,2.1157,2.1157,30308.7602,30308.7602,14776.4915,214889.1098,214889.1098
204,000636.SZ,风华高科,广东,元器件,19961129,34.59,4.3863,0.96,91.386,93.2638,5.1231,9.4031,8.0946,,,89523.3111,89523.3111,71593.076,3096611.3309,3096611.3309
205,000637.SZ,茂化实华,广东,石油加工,19961114,3.78,0.5146,0.95,21.6487,112.7839,2.1652,0.4572,0.4458,2.6455,2.6455,51987.5356,36649.4967,28983.6966,196512.8846,138535.0975
206,000638.SZ,万方发展,吉林,软件服务,19961126,4.74,2.0697,0.77,156.7136,189.3666,10.5902,12.6773,16.0642,,,30940.0,30940.0,19280.0,146655.6,146655.6
207,000639.SZ,西王食品,山东,食品,19961126,5.79,3.7329,1.06,,,1.6488,1.0913,1.0772,,,107942.8095,107532.2635,51062.2889,624988.867,622611.8057
208,000650.SZ,仁和药业,江西,中成药,19961210,5.7,0.8762,0.6,14.8368,17.0376,1.6369,1.7418,2.0027,1.5519,1.5519,139993.8234,118039.3145,83589.3134,797964.7934,672824.0927
