,股票代码,股票名称,最新价格,涨跌额,涨跌幅,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率(动态),市净率,总市值,流通市值
296,000048.SZ,京基智农,18.57,0.39,2.15,25921.0,47954899.3,2.64,18.65,18.17,18.43,18.18,1.43,0.5,-156.14,5.39,9716552873.0,9716552873.0
297,600082.SH,海泰发展,3.35,0.07,2.13,129701.0,42918917.0,2.44,3.35,3.27,3.28,3.28,1.04,2.04,-45.54,1.26,2164488017.0,2125023630.0
298,000932.SZ,华菱钢铁,4.79,0.1,2.13,501547.0,238726596.46,2.99,4.82,4.68,4.69,4.69,1.34,0.88,4.84,0.68,33092349670.0,27388799371.0
299,600242.SH,*ST中昌,1.44,0.03,2.13,283497.0,39367798.0,6.38,1.44,1.35,1.39,1.41,0.85,6.28,-5.71,-16.4,657597776.0,649864145.0
300,000981.SZ,银亿股份,1.92,0.04,2.13,932175.0,179569463.12,5.85,1.98,1.87,1.89,1.88,2.01,1.67,85.79,3.53,19195144105.0,10713493546.0
301,603088.SH,宁波精达,7.69,0.16,2.12,139835.0,107654803.0,5.18,7.86,7.47,7.55,7.53,3.83,3.25,24.81,5.4,3368415480.0,3308693248.0
302,002347.SZ,泰尔股份,4.82,0.1,2.12,246727.0,118731240.18,9.32,5.07,4.63,4.72,4.72,3.75,6.59,-200.55,1.9,2432664970.0,1804885627.0
303,600620.SH,天宸股份,11.6,0.24,2.11,74036.0,86052717.0,3.43,11.75,11.36,11.38,11.36,1.6,1.08,-192.96,4.28,7965454511.0,7965454511.0
304,300587.SZ,天铁股份,12.15,0.25,2.1,170396.0,206907699.75,3.78,12.38,11.93,12.09,11.9,0.53,1.83,29.14,4.64,13083758312.0,11292490458.0
305,300787.SZ,海能实业,31.12,0.64,2.1,39849.0,124490168.49,4.89,31.75,30.26,30.35,30.48,1.78,4.47,11.8,3.13,4769510950.0,2774021862.0
306,001228.SZ,永泰运,51.19,1.05,2.09,13608.0,69744478.42,5.58,52.25,49.45,50.15,50.14,2.19,5.24,16.25,3.33,5316829335.0,1329404300.0
307,601717.SH,郑煤机,11.72,0.24,2.09,178374.0,209353651.0,3.57,11.87,11.46,11.46,11.48,1.19,1.18,7.98,1.22,20887922768.0,17748343384.0
308,300771.SZ,智莱科技,14.65,0.3,2.09,165199.0,242585049.0,6.34,15.11,14.2,14.46,14.35,0.98,9.06,15.43,1.74,3516000000.0,2670637059.0
309,603051.SH,鹿山新材,71.1,1.45,2.08,58466.0,413257800.0,6.49,72.8,68.28,69.69,69.65,1.3,25.42,54.56,4.81,6634980900.0,1635513300.0
310,603256.SH,宏和科技,6.9,0.14,2.07,53749.0,37270208.0,8.28,7.25,6.69,6.78,6.76,2.93,0.61,109.61,4.08,6102153000.0,6056820000.0
311,603355.SH,莱克电气,30.22,0.61,2.06,19964.0,60537811.0,4.15,30.83,29.6,30.15,29.61,1.28,0.35,15.86,4.92,17352495045.0,17118688345.0
312,600871.SH,石化油服,1.99,0.04,2.05,406449.0,80309573.0,2.05,1.99,1.95,1.95,1.95,1.39,0.3,102.52,4.95,37778836666.0,27003063316.0
313,301126.SZ,达嘉维康,15.45,0.31,2.05,50505.0,78309384.58,5.15,15.88,15.1,15.14,15.14,1.96,4.66,45.26,1.85,3190513065.0,1674304356.0
314,603113.SH,金能科技,9.47,0.19,2.05,56567.0,53474002.0,3.23,9.57,9.27,9.35,9.28,1.7,0.66,23.36,0.96,8097659581.0,8097659581.0
315,600792.SH,云煤能源,3.54,0.07,2.02,79706.0,28114510.0,2.59,3.55,3.46,3.47,3.47,1.95,0.81,-27.58,1.07,3504329544.0,3504329544.0
316,001205.SZ,盛航股份,25.88,0.51,2.01,30446.0,79481950.8,5.72,26.66,25.21,25.37,25.37,1.6,2.61,24.65,3.07,4427067298.0,3019285878.0
317,603689.SH,皖天然气,8.14,0.16,2.01,62155.0,50199945.0,2.51,8.15,7.95,7.96,7.98,1.41,1.32,13.62,1.44,3829095088.0,3829095088.0
318,002020.SZ,京新药业,13.29,0.26,2.0,115873.0,153854065.22,3.99,13.49,12.97,13.02,13.03,1.12,1.77,18.19,2.3,11443077271.0,8723566207.0
319,002244.SZ,滨江集团,10.75,0.21,1.99,396332.0,430785867.71,5.88,11.14,10.52,10.63,10.54,0.69,1.48,12.2,1.53,33448021818.0,28835302705.0
320,300295.SZ,三六五网,9.22,0.18,1.99,101084.0,94103646.7,4.76,9.47,9.04,9.04,9.04,1.99,6.09,89.3,1.34,1759403863.0,1529451623.0
321,000720.SZ,新能泰山,5.14,0.1,1.98,110219.0,56444828.08,3.37,5.19,5.02,5.05,5.04,2.17,0.85,-47.97,2.57,6628805945.0,6628805945.0
322,300244.SZ,迪安诊断,26.24,0.51,1.98,111949.0,295970831.22,4.2,26.87,25.79,25.79,25.73,1.89,2.23,5.08,1.98,16449804465.0,13198809505.0
323,600970.SH,中材国际,9.32,0.18,1.97,294321.0,277422621.0,4.81,9.55,9.11,9.11,9.14,1.8,1.69,10.13,1.49,21115690836.0,16241017023.0
324,003006.SZ,百亚股份,15.56,0.3,1.97,131531.0,200092924.76,6.03,15.67,14.75,15.21,15.26,1.2,6.1,39.81,5.48,6695939468.0,3352678968.0
325,002623.SZ,亚玛顿,31.97,0.61,1.95,75757.0,239722375.65,4.02,32.08,30.82,31.4,31.36,0.97,3.81,80.66,1.94,6364028125.0,6350396916.0
