,股票名称,股票代码,识别日期,最新日期,形态识别,左底id,左底价格,右底id,右底价格,中顶id,中顶价格,收盘价格,颈线价格,首次突破,突破幅度,当日涨幅,突破放量,当前成交量-手,平均成交量-手,最大盈利id,最大盈利价格,最大盈利比例%,最大亏损id,最大亏损价格,最大亏损比例%
288,惠达卫浴,603385.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,8.32,2022-04-15 00:00:00,8.3,2022-04-06 00:00:00,9.23,,,,False,,,,,,,,,,
289,金贵银业,002716.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,2.9,2022-03-31 00:00:00,2.89,2022-03-25 00:00:00,3.07,,,,False,,,,,,,,,,
290,海欣食品,002702.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-09 00:00:00,5.03,2022-03-15 00:00:00,5.03,2022-03-11 00:00:00,5.37,6.48,5.37,,True,,,,,,,,,,
291,富邦股份,300387.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-18 00:00:00,8.25,2022-04-15 00:00:00,8.4,2022-03-07 00:00:00,12.03,,,,False,,,,,,,,,,
292,华设集团,603018.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-14 00:00:00,8.15,2022-03-29 00:00:00,8.12,2022-03-18 00:00:00,8.79,,,,False,,,,,,,,,,
293,国药股份,600511.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-09 00:00:00,25.89,2022-03-15 00:00:00,26.02,2022-03-11 00:00:00,27.92,,,,False,,,,,,,,,,
294,博世科,300422.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,6.79,2022-04-15 00:00:00,6.73,2022-03-21 00:00:00,7.52,,,,False,,,,,,,,,,
295,华鹏飞,300350.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,6.16,2022-03-29 00:00:00,6.15,2022-03-18 00:00:00,6.65,,,,False,,,,,,,,,,
296,华民股份,300345.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,5.2,2022-03-29 00:00:00,5.1,2022-03-21 00:00:00,5.54,,,,False,,,,,,,,,,
297,昇辉科技,300423.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,9.99,2022-04-15 00:00:00,9.94,2022-03-24 00:00:00,12.89,,,,False,,,,,,,,,,
298,ST信通,600289.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-28 00:00:00,3.35,2022-03-15 00:00:00,3.4,2022-03-04 00:00:00,3.6,,,,False,,,,,,,,,,
299,国发股份,600538.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,4.96,2022-04-11 00:00:00,4.88,2022-03-21 00:00:00,5.38,,,,False,,,,,,,,,,
300,*ST利源,002501.SZ,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-02-24 00:00:00,1.67,2022-03-15 00:00:00,1.69,2022-03-07 00:00:00,1.89,,,,False,,,,,,,,,,
301,安德利,603031.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-09 00:00:00,38.85,2022-03-24 00:00:00,38.78,2022-03-17 00:00:00,41.11,,,,False,,,,,,,,,,
302,大元泵业,603757.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-15 00:00:00,14.16,2022-04-11 00:00:00,13.91,2022-03-23 00:00:00,15.1,,,,False,,,,,,,,,,
303,心脉医疗,688016.SH,2022-05-08 00:00:00,2022-04-15 00:00:00,True,2022-03-16 00:00:00,175.0,2022-04-15 00:00:00,174.65,2022-03-24 00:00:00,219.8,,,,False,,,,,,,,,,
